"Genes","Rank"
"SLC2A14",590
"C9orf3",590
"KIAA1598",589
"HFE2",588
"ZBTB10",588
"C14orf34",587
"PUS3",587
"ESX1",586
"RP11.834C11.4",586
"HPVC1",585
"C9orf142",585
"FRK",584
"NPIPB5",584
"GAPDHS",583
"MSANTD3",583
"CDC42EP5",582
"EEF1D",582
"COL25A1",581
"ZZEF1",581
"LOC100133957",580
"CYFIP1",580
"BOLL",579
"FAM71F2",579
"C4orf36",578
"ADPRHL1",578
"SPAG9",577
"C3AR1",577
"CST5",576
"LYPD6B",576
"TMEM204",575
"C17orf59",575
"SIM1",574
"GSTM4",574
"FAHD1",573
"PRDM12",573
"MGAT5B",572
"DTNBP1",572
"MARCKS",571
"PCMT1",570
"KHDC1",570
"ALDH1A1",569
"ECHDC1",569
"UVRAG",568
"SENP2",568
"MAP3K12",567
"EIF2B3",567
"DVL1",566
"WEE2",566
"SOLH",565
"CCDC127",565
"THAP6",564
"BMPR1A",564
"LAMP1",563
"LIF",563
"CHDH",562
"NAT8",562
"ADRA1A",561
"TKTL1",561
"METTL10",560
"GATM",560
"DLX2",559
"AMPD2",559
"ACCN1",558
"C5orf38",558
"GPR6",557
"ZSWIM8",557
"POLR1A",556
"EIF4G1",555
"PRR12",555
"BCORL1",554
"RABIF",554
"C9orf116",553
"MRPL45",552
"TDRD3",552
"TFAP2D",551
"PNISR",551
"MRS2P2",550
"EIF4H",550
"FES",549
"MKRN3",549
"C5orf42",548
"NEK8",548
"ERC2",547
"CATSPER1",546
"LAPTM4B",546
"FOXD4L1",545
"PPP2R4",545
"POU4F2",544
"PSPH",544
"WWP1",543
"ARID3B",543
"ZNF827",542
"ZNF215",542
"CCT5",541
"ZNF19",540
"BHLHE23",539
"ADAM8",539
"HOXA2",538
"GPR83",538
"JARID2",537
"PHF19",537
"MIR212",536
"PTPN2",536
"SLC10A7",535
"RASD1",535
"ACBD4",534
"SCARNA9.1",534
"C4orf34",533
"NR1H3",533
"GPR62",532
"GPN3",532
"SOD3",531
"C1orf111",531
"PRRG3",530
"ZCCHC2",530
"CBR4",529
"GSK3B",529
"CD5L",528
"SAMD4B",528
"TADA2B",527
"DPH1",527
"ACOX3",526
"ASAP2",526
"OR3A4",525
"DNM1",525
"C21orf33",524
"SPDYA",524
"FABP3",523
"KRT24",522
"NDUFAB1",522
"MIR1260",521
"PHF23",521
"SUV39H1",520
"PPP1R2",520
"ANXA4",519
"SNRPG",519
"HIST1H2BM",518
"WDR1",518
"ABLIM1",517
"SATL1",517
"DPM2",516
"PAQR6",516
"TNFRSF11B",515
"GJB2",515
"REXO1L2P",514
"CCDC85C",514
"MYH8",513
"GCKR",513
"C6orf27",512
"DPH7",512
"S100A13",511
"DSTN",511
"SFT2D3",510
"XPNPEP1",510
"SEMA3E",509
"COL5A3",509
"NRIP1",508
"VWF",508
"TTTY10",507
"CD58",507
"TNNT2",506
"C11orf63",506
"TDRD10",505
"OXT",505
"CDK5RAP2",504
"POLA1",503
"PHKA2",503
"CROT",502
"ZRANB2",502
